Name,Expression,Time
Speaker,Neutral,[0.0]
Speaker,Sad,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Sad,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Sad,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Sad,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Fear,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Angry,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
